3;010504;"Ferskvannsholdig borevæske og boreavfall";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010505;"Oljeholdig borevæske og boreavfall";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010506;"Borevæske og annet boreavfall som inneholder farlige stoffer";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010507;"Annen baryttholdig borevæske og annet baryttholdig boreavfall enn den/det nevnt i 01 05 05 og 01 05 06";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010508;"Annen kloridholdig borevæske og annet kloridholdig boreavfall enn den/det nevnt i 01 05 05 og 01 05 06";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;010599;"Avfall som ikke er spesifisert andre steder ";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
1;02;"Avfall fra jordbruk, hagebruk, akvakultur, skogbruk, jakt og fiske samt produksjon og bearbeiding av næringsmidler";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0201;"Avfall fra jordbruk, hagebruk, akvakultur, skogbruk, jakt og fiske";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020101;"Slam fra vasking og rensing";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020102;"Animalsk avfall";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020103;"Planteavfall";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020104;"Plastavfall (unntatt emballasje)";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020105;"Utgått: Landbrukskjemisk avfall";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020106;"Dyreavføring, dyreurin og husdyrgjødsel (herunder forurenset halm), avløpsvann, innsamlet separat og behandlet eksternt";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020107;"Avfall fra skogbruk";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020108;"Landbrukskjemisk avfall som inneholder farlige stoffer";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020109;"Annet landbrukskjemisk avfall enn det nevnt i 02 01 08";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020110;"Metallavfall";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020199;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0202;"Avfall fra tilberedning og bearbeiding av kjøtt, fisk og andre næringsmidler av animalsk opprinnelse";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020201;"Slam fra vasking og rengjøring";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020202;"Animalsk avfall";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020203;"Materiale som er uegnet som næringsmidler eller til bearbeiding";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020204;"Slam fra behandling av avløpsvann på stedet";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020299;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0203;"Avfall fra tilberedning og bearbeiding av frukt, grønnsaker, korn, matoljer, kakao, kaffe, te og tobakk; produksjon av konserver; produksjon av gjær og gjærekstrakt, tilberedning og gjæring av melasse";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020301;"Slam fra vasking, rengjøring, skrelling, sentrifugering og separering";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020302;"Avfall fra konserveringsmidler";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020303;"Avfall fra ekstraksjon ved hjelp av løsemidler";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020304;"Materiale som er uegnet som næringsmidler eller til bearbeiding";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020305;"Slam fra behandling av avløpsvann på produksjonsstedet";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020399;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0204;"Avfall fra sukkerproduksjon";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020401;"Jord fra rengjøring og vasking av sukkerbeter";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020402;"Frasortert kalsiumkarbonat";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020403;"Slam fra behandling av avløpsvann på produksjonsstedet";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020499;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0205;"Avfall fra meieriindustri";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020501;"Materiale som er uegnet som næringsmidler eller til bearbeiding";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020502;"Slam fra behandling av avløpsvann på produksjonsstedet";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020599;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0206;"Avfall fra bakeri- og sukkervareindustri";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020601;"Materiale som er uegnet som næringsmidler eller til bearbeiding";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020602;"Avfall fra konserveringsmidler";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020603;"Slam fra behandling av avløpsvann på produksjonsstedet";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020699;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0207;"Avfall fra produksjon av alkoholholdige og alkoholfrie drikkevarer (unntatt kaffe, te og kakao)";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020701;"Avfall fra vasking, rengjøring og mekanisk reduksjon av råvarer";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020702;"Avfall fra alkoholdestillasjon";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020703;"Avfall fra kjemisk behandling";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020704;"Materiale som er uegnet som næringsmidler eller til bearbeiding";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020705;"Slam fra behandling av avløpsvann på produksjonsstedet";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;020799;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
1;03;"Avfall fra treindustri og produksjon av plater og møbler, papirmasse, papir og papp/kartong";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
2;0301;"Avfall fra treindustri og produksjon av plater og møbler";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030101;"Bark- og korkavfall";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030102;"Utgått: §4.2)Sagflis";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030103;"Utgått: §4.2)Spon, kapp, treavfall, avfall fra sponplater og finerplater";Nei;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030104;"Sagflis, spon, kapp, tre, sponplater og finér som inneholder farlige stoffer";Ja;Ja
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030105;"Annen sagflis, spon, kapp, tre, sponplater og finér enn det nevnt i 03 01 04";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
3;030199;"Avfall som ikke er spesifisert andre steder";Ja;Nei
Nivå;Kode;Beskrivelse;Registrerbar;Farlig
